time,mz,charge,intensity,RT_length,points,scans,peaks,Tmz,Tintensity,Tmass,Tintensity10,Pintensity,rt_start,rt_end,Ttime,sample,fraction,status,group,mz_error,score,adj_score
10.8,323.00516,5,391870.0,0.166167,31,25,2,323.00516,18.580016,323.01,5.593142,4e-06,10.716917,10.883083,2.005803,A3,F1,use,322.99_323.02_1,7e-05,0.945672,1.522936
1.5,323.00509,5,106580.0,0.033,6,5,2,323.00509,16.701577,323.01,5.027676,1e-06,1.4835,1.5165,1.542615,A1,F1,use,322.99_323.02_1,7e-05,0.945672,1.323516
9.87,323.00533,5,59525.0,0.0175,4,2,2,323.00533,15.861208,323.01,4.774699,5.928034e-07,9.86125,9.87875,9.695664,A3,F1,use,323.01_323.04_1,0.00015,0.96536,1.349692
9.86,323.00518,5,98257.0,0.046667,9,7,2,323.00518,16.584273,323.01,4.992364,1e-06,9.836667,9.883333,10.140121,A1,F1,use,323.01_323.04_1,0.00015,0.96536,1.349692
8.7,324.96762,5,96931.0,0.022167,5,3,2,324.96762,16.564671,324.97,4.986463,8.425567e-07,8.688917,8.711083,8.881423,A2,F1,use,324.95_324.98_0,0.00057,0.732929,0.879515
5.91,324.96819,5,46111.0,0.016533,4,2,2,324.96819,15.492823,324.97,4.663805,4.592147e-07,5.901733,5.918267,5.725336,A3,F1,use,324.95_324.98_0,0.00057,0.732929,0.879515
1.82,324.97577,5,315380.0,0.055167,10,8,2,324.97577,18.266732,324.98,5.498834,3e-06,1.792417,1.847583,1.794923,A2,F1,use,324.96_324.99_2,0.00085,0.778685,1.016531
0.363,324.97662,5,236170.0,0.034167,9,5,2,324.97662,17.849466,324.98,5.373225,2e-06,0.345917,0.380083,0.373313,A1,F1,use,324.96_324.99_2,0.00085,0.778685,0.934422
0.362,326.96343,5,2375300.0,0.077333,15,13,2,326.96343,21.179678,326.96,6.375718,2.4e-05,0.323333,0.400667,0.132668,A3,F1,use,326.94_326.97_0,0.00074,0.973368,1.168041
0.429,326.96417,5,557960.0,0.090833,25,15,2,326.96417,19.089802,326.96,5.746603,6e-06,0.383583,0.474417,0.441188,A1,F1,use,326.94_326.97_0,0.00074,0.973368,1.168041
7.6,331.95421,5,409830.0,0.238333,47,39,2,331.95421,18.644666,331.95,5.612604,4e-06,7.480833,7.719167,7.751475,A2,F1,use,331.93_331.96_0,6e-05,0.986783,1.18414
7.84,331.95415,5,257540.0,0.193333,44,33,2,331.95415,17.974437,331.95,5.410845,3e-06,7.743333,7.936667,8.062733,A1,F1,use,331.93_331.96_0,6e-05,0.986783,1.18414
14.8,338.59655,5,3299500.0,0.341667,116,43,4,338.59655,21.653816,338.6,6.518448,3.3e-05,14.629167,14.970833,14.967328,A3,F1,use,338.58_338.61_1,0.00014,0.981825,1.372553
14.2,338.59641,5,3842400.0,0.553333,166,65,4,338.59641,21.873576,338.6,6.584603,3.9e-05,13.923333,14.476667,14.603419,A1,F1,use,338.58_338.61_1,0.00014,0.981825,1.17819
15.5,338.78597,5,1889700.0,0.221667,38,16,3,338.78597,20.849726,338.79,6.276393,1.9e-05,15.389167,15.610833,15.940352,A1,F1,use,338.77_338.8_1,0.00065,0.992394,1.190872
15.7,338.78662,5,1291400.0,0.383333,59,33,3,338.78662,20.300505,338.79,6.111061,1.1e-05,15.508333,15.891667,16.072,A2,F1,use,338.77_338.8_1,0.00065,0.992394,1.190872
