mz,mostAbundantMz,charge,rtStart,rtApex,rtEnd,fwhm,nIsotopes,nScans,averagineCorr,mass,massCalib,intensityApex,intensitySum,Tmz,intensity,rt_start,time,rt_end,Tintensity,Tintensity10,Pintensity,Tmass,Ttime,sample,fraction,status,group,mz_error,score,adj_score
306.942777,306.942777,5,0.897546,0.934366,1.000658,0.049837,2,18,0.728722,1529.674733,1529.674613,40964.43066,640767.4551,306.942777,640767.4551,0.897546,0.934366,1.000658,19.289441,5.8067,2e-06,306.94,0.919944,A2,F1,use,306.92_306.95_0,9.1e-05,0.980433,1.176519
306.988624,306.988624,5,4.574033,4.590293,4.606636,19.863878,2,3,0.995649,1529.906775,1529.906567,10103.7373,49766.51709,306.988624,49766.51709,4.574033,4.590293,4.606636,15.602888,4.696937,1.462645e-07,306.99,7.81465,A2,F1,use,306.97_307.0_0,0.000367,0.872031,1.046438
306.988991,306.988991,5,9.954632,9.965964,9.976894,-0.394048,2,3,0.999263,1529.910312,1529.910708,7170.037109,44648.76709,306.988991,44648.76709,9.954632,9.965964,9.976894,15.446333,4.649809,1.956445e-07,306.99,10.262115,A1,F1,use,306.97_307.0_0,0.000367,0.872031,1.046438
307.992907,307.992907,5,15.033834,15.067857,15.123337,0.126837,2,11,0.831986,1534.928593,1534.928458,55310.75977,419523.9131,307.992907,419523.9131,15.033834,15.067857,15.123337,18.678394,5.622757,1e-06,307.99,15.436331,A2,F1,use,307.97_308.0_1,8e-06,0.985543,1.380187
307.9929,307.9929,5,14.989088,15.051709,15.31581,0.067431,2,22,0.961056,1534.929217,1534.929433,29087.80664,641464.2705,307.9929,641464.2705,14.989088,15.051709,15.31581,19.291009,5.807172,3e-06,307.99,15.498989,A1,F1,use,307.97_308.0_1,8e-06,0.985543,1.182651
309.025331,309.025331,5,6.981893,6.993789,7.009929,0.041314,2,5,0.980512,1540.093141,1540.092724,11593.31006,77147.93457,309.025331,77147.93457,6.981893,6.993789,7.009929,16.23534,4.887324,3.419522e-07,309.03,7.036197,A3,F1,use,309.01_309.04_0,0.000613,0.983044,1.179653
309.024718,309.024718,5,6.645367,6.66183,6.67305,0.017716,2,3,0.996815,1540.090752,1540.090545,10686.91504,53896.53125,309.024718,53896.53125,6.645367,6.66183,6.67305,15.717905,4.731561,1.584027e-07,309.02,6.695315,A2,F1,use,309.01_309.04_0,0.000613,0.983044,1.179653
309.079867,309.079867,5,59.544313,59.659384,59.839174,0.231035,2,13,0.932467,1540.37405,1540.374032,1109161.594,11561123.98,309.079867,11561123.98,59.544313,59.659384,59.839174,23.462778,7.063,5.1e-05,309.08,61.089148,A3,F1,use,309.06_309.09_1,0.000862,0.983947,1.363093
309.080254,309.080254,5,60.194409,60.263877,60.395313,0.504941,2,6,0.81308,1540.370023,1540.369988,1145592.375,7506204.125,309.080254,7506204.125,60.194409,60.263877,60.395313,22.839652,6.87542,2.2e-05,309.08,61.856775,A2,F1,use,309.06_309.09_1,0.000476,0.996243,1.195492
309.08073,309.08073,5,59.580298,59.697986,59.72115,12.127317,2,6,0.766523,1540.370927,1540.370961,1486818.438,9362735.266,309.08073,9362735.266,59.580298,59.697986,59.72115,23.158499,6.971403,4.1e-05,309.08,61.471986,A1,F1,use,309.06_309.09_1,0.000862,0.983947,1.180736
