charge,scan_number,time,rt_start,rt_end,intensity,goodness_fit,mz,Tmz,Tintensity,Tintensity10,Pintensity,Tmass,Ttime,sample,fraction,status,group,mz_error,score,adj_score
4,4,69.899023,69.857255,69.957868,1007267.028,0.99306,1291.634399,1291.634399,23.012575,6.927475,4.5e-05,1291.63,88.209635,A1,F1,use,1291.62_1291.65_0,0.000855,0.918008,1.101609
4,3,70.004808,69.967269,70.004808,357640.1912,0.90314,1291.635254,1291.635254,21.066608,6.341681,1.2e-05,1291.64,88.731934,A2,F1,use,1291.62_1291.65_0,0.000855,0.918008,1.101609
4,8,50.248574,50.12248,50.270826,2726715.35,0.980367,1380.200195,1380.200195,24.449293,7.35997,0.000121,1380.2,63.411593,A1,F1,use,1380.18_1380.21_1,0.000977,0.984475,1.557737
4,26,50.368475,50.145672,50.645057,7565663.479,0.995973,1380.201172,1380.201172,25.469493,7.667081,0.000245,1380.2,63.799416,A2,F1,use,1380.18_1380.21_1,0.001587,0.942999,1.131599
4,13,50.090851,49.894046,50.12248,3510067.34,0.977809,1380.199463,1380.199463,24.813627,7.469646,0.000156,1380.2,63.212553,A1,F1,use,1380.18_1380.21_2,0.000122,0.935525,1.508787
4,11,49.943468,49.810627,50.038948,1520100.842,0.987475,1380.199585,1380.199585,23.474931,7.066658,6.2e-05,1380.2,62.946425,A3,F1,use,1380.18_1380.21_2,0.000122,0.935525,1.506683
4,4,50.855757,50.778945,50.855757,1640668.433,0.989051,1380.700806,1380.700806,23.26431,7.003255,5.3e-05,1380.7,64.418124,A2,F1,use,1380.68_1380.71_0,0.000244,0.935453,1.476469
4,3,49.707116,49.670285,49.707116,373242.9691,0.98423,1380.70105,1380.70105,21.448951,6.456778,1.5e-05,1380.7,62.647082,A3,F1,use,1380.68_1380.71_0,0.000244,0.935453,1.476469
4,3,50.674069,50.645057,50.689083,467454.751,0.99019,1380.700439,1380.700439,21.452925,6.457974,1.5e-05,1380.7,64.187432,A2,F1,use,1380.68_1380.71_1,0.000244,0.863992,1.405007
4,3,49.904574,49.828846,49.904574,962618.8738,0.958822,1380.700195,1380.700195,22.815801,6.86824,3.9e-05,1380.7,62.897165,A3,F1,use,1380.68_1380.71_1,0.000244,0.863992,1.405007
4,3,50.371882,50.371882,50.417409,1436929.749,0.983297,1380.701416,1380.701416,23.073016,6.94567,4.7e-05,1380.7,63.803741,A2,F1,use,1380.68_1380.71_2,0.000732,0.905633,1.446649
