charge	Scan_Num	RT	RT_Calibrated	RTbegin	RTend	MaxInt	MaxInt_calibrated	SA	SACalibrated	goodness_fit	S/N	m/z
4	19	15.923145	15.923145	15.814404	16.016961	7335315.139	604123.6532	662921.0671	55444.35329	0.99721	202.635297	496.26947
4	16	15.921866	15.921866	15.855098	16.016961	2217613.773	182485.5164	165491.355	13894.99916	0.966973	73.080963	437.236633
4	10	15.972939	15.972939	15.875399	15.98624	1203680.575	98737.43102	88206.17521	7466.490383	0.989541	33.531515	509.499298
4	6	16.021595	16.019988	15.98624	16.034452	979820.5479	82622.64921	41390.13319	3448.43575	0.931551	26.943018	509.499054
4	11	15.997166	15.997166	15.906282	16.034452	1276308.449	105723.3601	110700.1289	9372.233041	0.966503	21.536735	659.797363
4	3	15.98624	15.98624	15.98624	16.034452	181907.0288	15645.22481	9303.15883	800.13407	0.909323	8.024128	519.737244
4	4	15.922861	15.922861	15.912385	15.941538	1109133.827	92674.95212	30596.10966	2556.49312	0.991222	30.685286	519.98645
4	10	15.994683	15.992558	15.941538	16.047829	1158975.473	97778.23433	92853.47455	7842.087116	0.964918	30.842479	519.986511
4	3	16.047829	16.047829	16.028358	16.047829	612831.6286	49662.20654	10627.5892	861.230892	1	17.02412	513.721497
4	28	15.92327	15.92327	15.740763	16.034452	9318262.074	767495.9807	1349741.847	109272.4753	0.986058	248.747857	487.478943
4	12	16.010104	16.01212	15.95769	16.078645	4207525.657	353359.5538	342812.6474	28326.62468	0.982154	147.03573	453.469452
4	3	16.053912	16.053912	16.034452	16.084737	370671.1126	30033.31005	17762.57025	1439.197071	0.868911	12.091376	503.443787
4	14	16.019645	16.017647	15.95769	16.097589	5819033.11	493733.9022	496671.5385	40939.25131	0.968188	135.569893	528.292297
4	3	16.078645	16.078645	16.066256	16.097589	698084.4499	56949.29433	23074.78502	1882.42658	0.986196	20.61258	519.217651
4	3	16.053912	16.053912	16.047829	16.10367	925785.6834	72867.82238	30893.32453	2431.58792	1	46.205112	509.97348
4	5	16.078645	16.078645	16.053912	16.125493	737538.6824	57525.83125	42204.68065	3291.840001	1	19.8253	520.223145
4	8	16.00599	16.00599	15.929195	16.016961	1603674.677	132472.1781	86118.2364	7341.415373	0.937326	48.101474	509.722717
4	13	16.053715	16.053715	16.016961	16.149684	1474108.484	116708.7243	135397.4259	11270.95547	1	37.41178	509.722595
