time,mz,charge,intensity,quality,width,rt_start,rt_end,Tmz,Tintensity,Tmass,Tintensity10,Pintensity,Ttime,sample,fraction,status,group,mz_error,score,adj_score
65.57671,1304.633624,4,55244020.0,0.777434,5.166275,65.49932,65.652179,1304.633624,24.68682,1304.63,7.431473,8.6e-05,83.019683,A2,F1,use,1304.61_1304.64_0,0.000426,0.930405,1.116486
53.364578,1308.168333,4,338533000.0,0.856925,20.261005,53.359477,53.451328,1308.168333,27.302227,1308.17,8.218789,0.000526,67.450085,A2,F1,use,1308.15_1308.18_0,0.000794,0.976902,1.172282
53.220599,1308.167539,4,189629700.0,0.860222,15.34638,53.191457,53.322258,1308.167539,26.81429,1308.17,8.071906,0.000375,66.316853,A3,F1,use,1308.15_1308.18_0,0.000794,0.976902,1.172282
57.623523,1341.446639,4,160849100.0,0.812029,9.285741,57.514627,57.657659,1341.446639,26.228638,1341.45,7.895607,0.00025,72.885496,A2,F1,use,1341.43_1341.46_1,6.4e-05,0.979387,1.372423
58.04831,1341.446575,4,318449500.0,0.804279,18.100311,57.925714,58.220947,1341.446575,27.497371,1341.45,8.277534,0.000603,73.033816,A1,F1,use,1341.43_1341.46_1,6.4e-05,0.979387,1.175264
72.319483,1351.37397,4,83938140.0,0.851736,10.212004,72.244751,72.449339,1351.37397,25.638504,1351.37,7.717959,0.000166,89.952169,A3,F1,use,1351.35_1351.38_0,0.000276,0.543423,0.652107
72.209942,1351.373694,4,165488600.0,0.861194,10.631724,72.09272,72.335913,1351.373694,26.269662,1351.37,7.907956,0.000257,91.485241,A2,F1,use,1351.35_1351.38_0,0.000276,0.543423,0.652107
22.666338,305.921468,4,35725140.0,0.771482,4.967767,22.588935,22.714167,305.921468,24.341318,305.92,7.327467,6.8e-05,28.517784,A1,F1,use,305.91_305.94_1,3.7e-05,0.987432,1.184919
23.215392,305.921431,4,59571030.0,0.745397,5.351977,23.134426,23.291518,305.921431,24.795613,305.92,7.464223,9.3e-05,28.956719,A2,F1,use,305.91_305.94_1,3.7e-05,0.987432,1.184919
23.755146,305.921537,4,46840530.0,0.843038,4.283782,23.701917,23.809151,305.921537,24.796935,305.92,7.464621,9.3e-05,29.843382,A3,F1,use,305.91_305.94_1,0.000106,0.982026,1.178431
28.497837,320.68726,4,8047183.0,0.777448,4.250173,28.464078,28.564394,320.68726,22.255733,320.69,6.699643,1.6e-05,35.712574,A3,F1,use,320.67_320.7_1,0.000251,0.980937,1.365113
28.473736,320.687009,4,11602520.0,0.774262,4.647571,28.447576,28.50243,320.687009,22.43544,320.69,6.75374,1.8e-05,35.667597,A2,F1,use,320.67_320.7_1,0.000251,0.980937,1.177125
41.520115,325.934678,4,78226200.0,0.89285,12.46043,41.475495,41.718945,325.934678,25.472031,325.93,7.667845,0.000148,52.238771,A1,F1,use,325.91_325.94_1,0.000121,0.975792,1.369294
42.070966,325.934557,4,176706000.0,0.84133,17.012287,41.841494,42.204216,325.934557,26.364281,325.93,7.936439,0.000275,53.020848,A2,F1,use,325.91_325.94_1,1.9e-05,0.950999,1.141199
41.341787,325.934538,4,110471600.0,0.85428,12.382142,41.19059,41.402002,325.934538,25.969982,325.93,7.817744,0.000209,52.014407,A1,F1,use,325.91_325.94_2,7.6e-05,0.991718,1.38522
41.480301,325.934462,4,144931800.0,0.88417,14.20819,41.262373,41.715373,325.934462,26.42648,325.93,7.955163,0.000287,51.778677,A3,F1,use,325.91_325.94_2,7.6e-05,0.991718,1.190061
18.794177,326.156209,4,6958264.0,0.828275,6.958457,18.698331,18.86835,326.156209,22.045977,326.16,6.6365,1.4e-05,23.704067,A3,F1,use,326.14_326.17_0,1.6e-05,0.98051,1.176612
17.846382,326.156225,4,4870255.0,0.767279,4.382108,17.771917,17.913538,326.156225,21.183071,326.16,6.37674,8e-06,22.120547,A2,F1,use,326.14_326.17_0,1.6e-05,0.98051,1.176612
16.324436,332.175154,4,7909198.0,0.859764,11.734397,16.202016,16.494203,332.175154,22.165982,332.18,6.672625,1.5e-05,20.538684,A1,F1,use,332.16_332.19_1,0.000126,0.991232,1.189478
16.248872,332.17528,4,4426118.0,0.85147,10.032934,16.180899,16.36458,332.17528,21.045116,332.18,6.335211,7e-06,20.08175,A2,F1,use,332.16_332.19_1,0.000126,0.991232,1.189478
17.505648,332.17532,4,10159540.0,0.861865,5.258476,17.427953,17.597483,332.17532,22.592012,332.18,6.800873,2e-05,22.109482,A3,F1,use,332.16_332.19_1,0.000166,0.979998,1.175997
29.215118,336.198943,4,46296970.0,0.817643,5.473775,29.134977,29.302388,336.198943,24.715297,336.2,7.440046,8.8e-05,36.757169,A1,F1,use,336.18_336.21_0,0.00028,0.974422,1.169306
30.62766,336.199222,4,56301950.0,0.802883,5.854518,30.535017,30.706777,336.199222,25.062362,336.2,7.544523,0.000111,38.34828,A3,F1,use,336.18_336.21_0,0.00028,0.974422,1.169306
29.492728,345.670517,4,29039840.0,0.767782,5.067275,29.405033,29.530879,345.670517,24.042412,345.67,7.237487,5.5e-05,37.106445,A1,F1,use,345.65_345.68_0,8.8e-05,0.979335,1.175202
30.783858,345.670605,4,29000010.0,0.759678,4.313905,30.720904,30.831087,345.670605,23.757055,345.67,7.151586,4.5e-05,38.597506,A2,F1,use,345.65_345.68_0,8.8e-05,0.979335,1.175202
17.062506,347.424503,4,3234396.0,0.82766,10.969456,16.916354,17.105181,347.424503,20.59257,347.42,6.198981,5e-06,21.120137,A2,F1,use,347.41_347.44_1,4.8e-05,0.971077,1.559336
17.135952,347.424551,4,20452910.0,0.741367,10.920401,16.967353,17.272531,347.424551,23.536685,347.42,7.085248,3.9e-05,21.559697,A1,F1,use,347.41_347.44_1,4.8e-05,0.971077,1.559336
17.787909,347.424542,4,45453140.0,0.902644,8.251689,17.702883,17.924135,347.424542,24.688759,347.42,7.432057,8.6e-05,22.37996,A1,F1,use,347.41_347.44_2,7e-05,0.984614,1.572874
18.016735,347.424613,4,44348990.0,0.85229,8.950097,17.928967,18.142572,347.424613,24.369903,347.42,7.336072,6.9e-05,22.337957,A2,F1,use,347.41_347.44_2,7e-05,0.984614,1.572874
17.61585,347.424535,4,32415330.0,0.846841,4.464393,17.543966,17.669309,347.424535,24.201055,347.42,7.285243,6.1e-05,22.163483,A1,F1,use,347.41_347.44_3,0.000199,0.985607,1.573867
17.852482,347.424734,4,29664170.0,0.79905,7.350271,17.731598,17.913538,347.424734,23.789723,347.42,7.16142,4.6e-05,22.128331,A2,F1,use,347.41_347.44_3,0.000199,0.985607,1.573867
15.66515,352.451736,4,3312718.0,0.861169,10.789053,15.527386,15.814404,352.451736,20.627089,352.45,6.209373,5e-06,19.336784,A2,F1,use,352.43_352.46_0,0.000208,0.993347,1.192016
15.483176,352.451528,4,3877623.0,0.809358,11.378747,15.292179,15.628814,352.451528,21.137623,352.45,6.363059,7e-06,19.480247,A1,F1,use,352.43_352.46_0,0.000208,0.993347,1.192016
39.21338,359.483192,4,34357700.0,0.748098,5.799259,39.118843,39.302826,359.483192,24.285012,359.48,7.310517,6.5e-05,49.33654,A1,F1,use,359.46_359.49_1,2e-07,0.952511,1.339634
39.667417,359.483192,4,37027670.0,0.75003,11.642149,39.528608,39.771231,359.483192,24.109606,359.48,7.257715,5.8e-05,49.953357,A2,F1,use,359.46_359.49_1,0.000426,0.95791,1.149492
41.068817,359.483617,4,34418620.0,0.845688,4.971554,40.98619,41.127182,359.483617,24.287568,359.48,7.311287,6.5e-05,51.670968,A1,F1,use,359.46_359.49_2,0.000486,0.983104,1.370227
